INT.date,SRP,TP,TSS,NO23,TKN,CHL,SIL
2/1/1976,5361.670266,12838.22158,652336.549,360423.3901,339572.4502,1965945.764,902547.8281
2/2/1976,2788.068538,8399.056471,599434.7357,261381.4255,264866.5111,1568288.553,703987.3059
2/3/1976,1727.649308,5770.348688,369716.9519,193496.7225,196952.0211,1140248.543,523477.7403
2/4/1976,1233.184161,3863.977038,283632.3571,152092.7132,156203.3271,863228.9128,415172.0009
2/5/1976,1125.950756,3377.852267,161386.275,131360.9215,142620.4291,863228.9128,379070.0878
2/6/1976,1045.525702,3310.831389,230015.6544,121977.9985,132433.2556,766718.848,351993.6529
2/7/1976,991.9089992,2876.536098,165318.1665,115722.7166,125641.8066,727399.9327,333942.6964
2/8/1976,625.5281977,2330.092536,251775.0996,107903.6141,118850.3576,766272.0422,315891.7398
2/9/1976,2025.519878,4840.992509,1066436.216,87097.35476,115454.6331,719059.5568,306866.2615
2/10/1976,8355.269498,18062.12671,3813934.782,258030.3815,373529.6952,5037736.021,992802.6109
2/11/1976,90723.92896,199738.9726,49444541.28,995036.6402,2224199.549,13023273.67,5911688.274
2/12/1976,65072.80479,158393.1226,30214486.41,1212720.453,2247969.62,12866668.22,5974866.622
2/13/1976,29288.12383,129484.3369,36918450.82,1633969.013,2343049.906,12948433.69,6227580.014
2/14/1976,17727.02232,77644.35775,18897005.79,1288163.622,1796338.261,9454411.902,4774478.011
2/15/1976,11527.59107,48300.60659,11573701.44,1083593.561,1314145.382,7147106.464,3492860.095
2/16/1976,30226.41612,688557.7593,373658956.1,2619622.731,3062943.501,14307170.3,8140981.409
2/17/1976,108573.8229,3190622.742,1787125125,10278321.9,11002147.39,41981878.18,29242549.63
2/18/1976,84356.94552,1784149.398,959560255.2,8910202.37,8013909.824,32688316.39,21300128.74
2/19/1976,44971.00935,830328.3636,326653058.9,7972133.476,6214175.838,29026742.4,16516625.25
2/20/1976,19838.17998,381884.9647,169120484.4,4934747.271,3769254.197,18846270.98,10018280.89
2/21/1976,24073.89949,349472.7743,167112985.6,3350284.346,3049360.602,14243723.87,8104879.496
2/22/1976,28416.85241,399967.1977,183525505.1,3694190.813,3599467.972,17050111.45,9567006.978
2/23/1976,24991.34085,229420.509,92817839.92,3098926.265,2849012.857,14245064.28,7572376.278
2/24/1976,19266.26849,109336.0737,32222834.05,1926626.849,1830295.506,11078104.38,4864732.793
2/25/1976,13654.38694,75781.84754,15053961.61,1365438.694,341359.6736,8192632.166,3447732.703
2/26/1976,37665.73362,77591.41125,15668945.18,979309.074,251104.8908,5775412.488,2536159.397
2/27/1976,7291.871561,34454.09313,11867520.97,674498.1194,182296.789,4192826.148,1841197.569
2/28/1976,4369.761267,28257.78952,11157457.1,524371.352,145658.7089,3350150.304,1471152.96
2/29/1976,3538.702375,21232.21425,7136383.124,412848.6105,212322.1425,2713005.154,1191363.133
3/1/1976,2895.301944,17854.36199,6697798.496,332959.7235,173718.1166,2171476.458,974751.6543
3/2/1976,3288.491096,14798.20993,5524665.042,287742.9709,147982.0993,1808670.103,830344.0018
3/3/1976,3601.255195,18781.93094,7872897.896,257628.2563,149590.6004,1911435.45,839369.4801
3/4/1976,29274.71965,329689.1046,206177668.4,1352213.241,1003704.674,10455257.02,5631898.447
3/5/1976,41776.34749,497384.2783,260733557,2727749.748,1769351.188,16710539,9928026.109
3/6/1976,34314.6897,399337.2014,164710510.6,2466368.322,1029440.691,13725875.88,8664459.15
3/7/1976,16118.52124,170112.3934,60506448.95,1413470.324,595145.3995,8183249.243,5009140.446
3/8/1976,7988.888696,69636.4798,19013555.1,812203.6841,319555.5478,5592222.087,2689592.528
3/9/1976,4879.119942,34153.83959,7286152.447,536703.1936,195164.7977,4228570.616,1642637.047
3/10/1976,3672.744132,22893.43842,4860264.735,404001.8545,134667.2848,3183044.914,1236490.524
3/11/1976,5316.98968,15312.93028,2839272.489,329653.3602,116973.773,2871174.427,1074031.915
3/12/1976,1965.945764,13466.72848,3558361.833,285062.1358,78637.83056,2752324.07,992802.6109
